datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2020/09/27 05:00:00,NPP-375,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,6,0,1,-17.5183,-56.3610,2.5
2020/09/27 05:00:00,NPP-375,Paraguay,Presidente Hayes,Villa Hayes,,7,0,0.4,-24.2948,-59.4524,1.9
2020/09/27 05:00:00,NPP-375,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,4,2.2,0.7,-19.6365,-57.2564,17.8
2020/09/27 05:00:00,NPP-375,Argentina,Formosa,Patino,,11,0,0.3,-25.4623,-59.7490,1.4
2020/09/27 05:00:00,NPP-375,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,4,0.8,-999,-19.5274,-57.2417,19.6
2020/09/27 05:00:00,NPP-375,Argentina,Formosa,Patino,,11,0,0.6,-24.8905,-59.0563,1
2020/09/27 05:00:00,NPP-375,Bolivia,El Beni,Yacuma,,7,0,0.6,-14.4942,-65.8282,1.4
2020/09/27 05:00:00,NPP-375,Paraguay,Alto Parana,Itakyry,,5,1.5,0.8,-25.1102,-55.1195,2
2020/09/27 05:00:00,NPP-375,Paraguay,Presidente Hayes,Villa Hayes,,6,0,1,-24.7299,-58.1242,5.1
2020/09/27 05:00:00,NPP-375,Argentina,Chaco,Libertador General San Martin,,11,0,0.5,-26.5473,-59.3914,0.6
2020/09/27 05:00:00,NPP-375,Brasil,MATO GROSSO,PONTES E LACERDA,Amazonia,68,0,1,-15.7826,-59.5097,1.6
2020/09/27 05:00:00,NPP-375,Paraguay,Presidente Hayes,Villa Hayes,,10,0,0.6,-25.0721,-57.9166,4
2020/09/27 05:00:00,NPP-375,Argentina,Formosa,Pilcomayo,,10,0,0.7,-25.0013,-58.3335,1.6
2020/09/27 05:00:00,NPP-375,Argentina,Cordoba,Cruz del Eje,,108,0,0.9,-31.0520,-64.7701,3.3
2020/09/27 05:00:00,NPP-375,Brasil,MATO GROSSO,PONTES E LACERDA,Amazonia,63,0,1,-15.7837,-59.4595,5.1
2020/09/27 05:00:00,NPP-375,Argentina,Formosa,Pilcomayo,,10,0,0.7,-25.0046,-58.3341,1.6
2020/09/27 05:00:00,NPP-375,Paraguay,Neembucu,San Juan Bautista del Neembucu,,8,0,0.3,-26.8069,-57.7498,5.4
2020/09/27 05:00:00,NPP-375,Argentina,Chaco,Almirante Brown,,11,1,0.8,-25.7528,-61.5901,0.7
2020/09/27 05:00:00,NPP-375,Argentina,Chaco,Almirante Brown,,11,1,0.8,-25.7536,-61.5858,0.7
2020/09/27 04:54:00,NPP-375,Brasil,PARA,URUARA,Amazonia,0,13,0,-3.5438,-54.1658,1.6
2020/09/27 05:00:00,NPP-375,Bolivia,Santa Cruz,Jose Miguel de Velasco,,7,0,1,-17.2781,-58.7025,1.7
2020/09/27 05:00:00,NPP-375,Bolivia,Santa Cruz,Jose Miguel de Velasco,,7,0,1,-17.2788,-58.6986,1.7
